unique_row;study_ID;long_cite;short_cite;Experiment Number;Effect size Number;peer_reviewed;Country;Mean Age;Grade;Sample_size;gender_1;gender_2;study_design;participant_design;implementation;duration_week;frequency_n;intensity_n;m1i;sd1i;N1i;m2i;sd2i;N2i;ai;bi;ci;di;ri;ni;t;F_stat;d;d_var;rob
;Abel & Schuele 2014;;Abel & Schuele 2014;1;1;;;60;;35;;;RCT;within;;;;;6,51;2,8;35;10,4;2,8;35;;;;;;;;;;;low
;Ard & Beverly 2004;;Ard & Beverly 2004;1;1;;;47;;10;;;quasi-experimental;within;;;;;0;0;10;5,3;1,7;10;;;;;;;;;;;moderate
;;;;1;2;;;47;;20;;;quasi-experimental;within;;;;;0;0;20;7,45;2,15;20;;;;;;;;;;;high
;;;;1;3;;;47;;10;;;quasi-experimental;within;;;;;0;0;10;7,1;2,08;10;;;;;;;;;;;low
;Beck & McKeown 2007;;Beck & McKeown 2007;1;1;;;66;;26;;;quasi-experimental;within;;;;;9,96;2,74;26;14,54;3,68;26;;;;;;;;;;;moderate
;;;;1;2;;;78;;26;;;quasi-experimental;within;;;;;12,25;2,93;26;15,89;3,98;26;;;;;;;;;;;high
;;;;2;1;;;66;;36;;;quasi-experimental;within;;;;;7,17;2,46;36;12,67;3,27;36;;;;;;;;;;;low
;;;;2;2;;;78;;40;;;quasi-experimental;within;;;;;7,98;2,77;40;12,97;3,23;40;;;;;;;;;;;moderate
;Blewitt & Langan 2016;;Blewitt & Langan 2016;1;1;;;46;;40;;;quasi-experimental;within;;;;;0;0;40;3,45;1,62;40;;;;;;;;;;;high
;Blewitt et al., 2009;;Blewitt et al., 2009;1;1;;;43;;11;;;quasi-experimental;within;;;;;0;0;11;3,91;2,34;11;;;;;;;;;;;low
;;;;1;2;;;43;;11;;;quasi-experimental;within;;;;;0;0;11;4,55;2,25;11;;;;;;;;;;;moderate
;;;;1;3;;;43;;47;;;quasi-experimental;within;;;;;0;0;47;6,61;1,76;47;;;;;;;;;;;high
;;;;1;4;;;43;;47;;;quasi-experimental;within;;;;;0;0;47;7,18;1,91;47;;;;;;;;;;;low
;;;;2;1;;;44;;50;;;quasi-experimental;within;;;;;2;1,16;50;5,63;1,92;50;;;;;;;;;;;moderate
;Brett et al., 1996;;Brett et al., 1996;1;1;;;114;;56;;;quasi-experimental;within;;;;;5,78;2,6;56;5,67;2,8;56;;;;;;;;;;;high
;;;;1;2;;;114;;56;;;quasi-experimental;within;;;;;5,78;2,6;56;5,84;3;56;;;;;;;;;;;low
;;;;1;3;;;114;;58;;;quasi-experimental;within;;;;;4,86;2,7;58;11,38;5,4;58;;;;;;;;;;;moderate
;;;;1;4;;;114;;58;;;quasi-experimental;within;;;;;4,86;2,7;58;11,12;5,4;58;;;;;;;;;;;high
;Chen & Liu 2014;;Chen & Liu 2014;1;1;;;65;;33;;;quasi-experimental;within;;;;;0;0;33;8,28;2,96;33;;;;;;;;;;;low
;Damhuis et al 2015;;Damhuis et al 2015;1;1;;;56,19;;31;;;RCT;within;;;;;10,84;2,68;31;11,45;3,68;31;;;;;;;;;;;low
;;;;1;2;;;56,14;;61;;;RCT;within;;;;;9,38;3,2;61;13,75;3,35;61;;;;;;;;;;;moderate
;;;;1;3;;;55,88;;33;;;RCT;within;;;;;9;3,86;33;13,73;3,35;33;;;;;;;;;;;high
;Evans & Saint-Aubin 2013;;Evans & Saint-Aubin 2013;1;1;;;56;;36;;;RCT;within;;;;;2,7;1,57;36;3,7;1,63;36;;;;;;;;;;;low
;Flack & Horst (unpublished);;Flack & Horst (unpublished);1;1;;;46;;21;;;RCT;within;;;;;0;0;21;1,46;0,62;21;;;;;;;;;;;moderate
;;;;1;2;;;47;;21;;;RCT;within;;;;;0;0;21;1,72;0,48;21;;;;;;;;;;;high
;Flack & Horst, 2017;;Flack & Horst, 2017;1;1;;;42;;36;;;RCT;within;;;;;0;0;36;1,29;0,61;36;;;;;;;;;;;low
;;;;2;1;;;41;;12;;;RCT;within;;;;;0;0;12;1,76;0,34;12;;;;;;;;;;;moderate
;Flack et al (unpublished);;Flack et al (unpublished);1;1;;;39;;12;;;RCT;within;;;;;0;0;12;1,54;0,54;12;;;;;;;;;;;high
;;;;1;2;;;38;;12;;;RCT;within;;;;;0;0;12;1,04;0,84;12;;;;;;;;;;;low
;;;;2;1;;;41;;18;;;RCT;within;;;;;0;0;18;1,08;0,6;18;;;;;;;;;;;moderate
;;;;2;2;;;42;;18;;;RCT;within;;;;;0;0;18;0,94;0,94;18;;;;;;;;;;;high
;Horohov & Oetting 2004;;Horohov & Oetting 2004;1;1;;;71,72;;18;;;RCT;within;;;;;0;0;18;11,09;3,17;18;;;;;;;;;;;low
;;;;1;2;;;53,58;;18;;;RCT;within;;;;;0;0;18;7,22;2,56;18;;;;;;;;;;;moderate
;Horst (unpub A);;Horst (unpub A);1;1;;;42;;30;;;quasi-experimental;within;;;;;0;0;30;1,67;0,61;30;;;;;;;;;;;high
;Horst (unpub B);;Horst (unpub B);1;1;;;35;;26;;;quasi-experimental;within;;;;;0;0;26;1,25;0,55;26;;;;;;;;;;;low
;Horst et al., 2011;;Horst et al., 2011;1;1;;;43;;8;;;quasi-experimental;within;;;;;0;0;8;1,86;0,78;8;;;;;;;;;;;moderate
;;;;1;2;;;43;;8;;;quasi-experimental;within;;;;;0;0;8;3,96;1,02;8;;;;;;;;;;;high
;;;;1;3;;;43;;8;;;quasi-experimental;within;;;;;0;0;8;3,5;1,41;8;;;;;;;;;;;low
;;;;1;4;;;43;;8;;;quasi-experimental;within;;;;;0;0;8;4,88;0,99;8;;;;;;;;;;;low
;Houston-Price et al., 2014;;Houston-Price et al., 2014;1;1;;;57;;75;;;quasi-experimental;within;;;;;0;0;75;3,88;1,76;75;;;;;;;;;;;moderate
;;;;1;2;;;75;;70;;;quasi-experimental;within;;;;;0;0;70;6,2;2,01;70;;;;;;;;;;;high
;Justice 2002;;Justice 2002;1;1;;;47;;23;;;quasi-experimental;within;;;;;0;0;23;3,33;1,34;23;;;;;;;;;;;low
;Kaefer et al., 2014;;Kaefer et al., 2014;1;1;;;59,3;;76;;;quasi-experimental;within;;;;;0;0;76;1,6;1,1;76;;;;;;;;;;;moderate
;;;;2;1;;;59,3;;58;;;quasi-experimental;within;;;;;0;0;58;1;1,12;58;;;;;;;;;;;high
;Mandel et al., 2013;;Mandel et al., 2013;1;1;;;72;;44;;;quasi-experimental;within;;;;;0,35;0,15;44;0,54;0,13;44;;;;;;;;;;;low
;McLeod & McDade 2011;;McLeod & McDade 2011;1;1;;;47;;22;;;quasi-experimental;within;;;;;0;0;22;3,55;1,61;22;;;;;;;;;;;moderate
;;;;1;2;;;47;;22;;;quasi-experimental;within;;;;;0;0;22;2,64;1,47;22;;;;;;;;;;;high
;Pinkham et al., 2014;;Pinkham et al., 2014;1;1;;;62;;60;;;quasi-experimental;within;;;;;0;0;60;1,04;0,92;60;;;;;;;;;;;low
;Pullen et al., 2010;;Pullen et al., 2010;1;1;;;72;;126;;;quasi-experimental;within;;;;;0;0;126;6,96;1,43;126;;;;;;;;;;;moderate
;;;;1;2;;;72;;126;;;quasi-experimental;within;;;;;0;0;126;7;1,24;126;;;;;;;;;;;high
;Ralli & Dockrell 2005;;Ralli & Dockrell 2005;1;1;;;48;;64;;;RCT;within;;;;;0;0;64;1,61;0,7;64;;;;;;;;;;;low
;;;;1;1;;;60;;64;;;RCT;within;;;;;0;0;64;1,55;0,75;64;;;;;;;;;;;moderate
;;;;1;1;;;79;;64;;;RCT;within;;;;;0;0;64;1,77;0,61;64;;;;;;;;;;;high
;;;;1;1;;;48;;64;;;RCT;within;;;;;0;0;64;1,8;0,44;64;;;;;;;;;;;low
;;;;1;2;;;60;;64;;;RCT;within;;;;;0;0;64;1,95;0,21;64;;;;;;;;;;;moderate
;;;;1;3;;;79;;64;;;RCT;within;;;;;0;0;64;1,97;0,18;64;;;;;;;;;;;high
;Ramachandra et al., 2011;;Ramachandra et al., 2011;1;1;;;55;;40;;;quasi-experimental;within;;;;;0;0;40;3,45;1,43;40;;;;;;;;;;;low
;Robbins & Ehri 1994;;Robbins & Ehri 1994;1;1;;;74;;33;;;quasi-experimental;within;;;;;0;0;33;4,39;2;33;;;;;;;;;;;low
;Senechal & Cornell 1993;;Senechal & Cornell 1993;1;1;;;49;;20;;;quasi-experimental;within;;;;;1,3;1,03;20;2,55;1,32;20;;;;;;;;;;;moderate
;;;;1;2;;;62;;20;;;quasi-experimental;within;;;;;1,95;2,01;20;3,65;2,18;20;;;;;;;;;;;high
;;;;1;3;;;49;;60;;;quasi-experimental;within;;;;;1,7;1,3;60;3,05;1,68;60;;;;;;;;;;;low
;;;;1;4;;;62;;60;;;quasi-experimental;within;;;;;1,7;1,37;60;3,48;1,78;60;;;;;;;;;;;moderate
;;;;1;5;;;49;;20;;;quasi-experimental;within;;;;;1,3;1,03;20;3,4;1,35;20;;;;;;;;;;;high
;;;;1;6;;;62;;20;;;quasi-experimental;within;;;;;1,95;2,01;20;4,2;1,91;20;;;;;;;;;;;low
;;;;1;7;;;49;;60;;;quasi-experimental;within;;;;;1,7;1,3;60;3,53;1,53;60;;;;;;;;;;;moderate
;;;;1;8;;;62;;60;;;quasi-experimental;within;;;;;1,7;1,37;60;4,38;1,92;60;;;;;;;;;;;high
;Senechal 1997;;Senechal 1997;1;1;;;49;;20;;;quasi-experimental;within;;;;;2,8;1,3;20;3,2;1,5;20;;;;;;;;;;;low
;;;;1;2;;;49;;20;;;quasi-experimental;within;;;;;3,3;1,1;20;4,6;1,6;20;;;;;;;;;;;moderate
;;;;1;3;;;49;;20;;;quasi-experimental;within;;;;;2,7;1,4;20;5,6;1,9;20;;;;;;;;;;;high
;Senechal et al., 1995;;Senechal et al., 1995;1;1;;;57;;16;;;quasi-experimental;within;;;;;3,5;1,85;16;4,2;1,8;16;;;;;;;;;;;low
;;;;1;2;;;57;;16;;;quasi-experimental;within;;;;;3,5;1,85;16;4,5;1,85;16;;;;;;;;;;;moderate
;;;;1;3;;;57;;16;;;quasi-experimental;within;;;;;3,9;1,75;16;5,95;2,5;16;;;;;;;;;;;high
;;;;1;4;;;57;;16;;;quasi-experimental;within;;;;;3,9;1,75;16;6,5;2,25;16;;;;;;;;;;;low
;;;;2;1;;;48;;16;;;quasi-experimental;within;;;;;2,2;1,35;16;2,7;0,95;16;;;;;;;;;;;moderate
;;;;2;2;;;48;;16;;;quasi-experimental;within;;;;;2,2;1,35;16;2,7;1,4;16;;;;;;;;;;;high
;;;;2;3;;;48;;32;;;quasi-experimental;within;;;;;1,9;1,13;32;3,85;1,75;32;;;;;;;;;;;low
;;;;2;4;;;48;;32;;;quasi-experimental;within;;;;;1,9;1,13;32;4,3;1,73;32;;;;;;;;;;;low
;Strasser et al., 2013;;Strasser et al., 2013;1;1;;;50;;72;;;quasi-experimental;within;;;;;3,71;1,69;72;5,84;2,01;72;;;;;;;;;;;moderate
;Suggate et al., 2013;;Suggate et al., 2013;1;1;;;102;;20;;;quasi-experimental;within;;;;;0;0;20;3,2;1,54;20;;;;;;;;;;;high
;;;;1;2;;;122;;17;;;quasi-experimental;within;;;;;0;0;17;4,24;1,2;17;;;;;;;;;;;low
;Teepe et al., 2017;;Teepe et al., 2017;1;1;;;39;;44;;;quasi-experimental;within;;;;;21,32;4,47;44;22,11;4,84;44;;;;;;;;;;;moderate
;Walsh & Blewitt 2006;;Walsh & Blewitt 2006;1;1;;;44,28666667;;12;;;quasi-experimental;within;;;;;1,92;0,9;12;3,83;0,94;12;;;;;;;;;;;high
;;;;1;2;;;44,28666667;;23;;;quasi-experimental;within;;;;;1,96;1,45;23;6,89;1,21;23;;;;;;;;;;;low
;Walsh & Rose 2013;;Walsh & Rose 2013;1;1;;;51;;14;;;quasi-experimental;within;;;;;4,64;1,15;14;8,14;0,95;14;;;;;;;;;;;moderate
;;;;1;2;;;51;;28;;;quasi-experimental;within;;;;;4,51;2,01;28;7,54;1,94;28;;;;;;;;;;;high
;Wilkinson & Houston-Price 2013;;Wilkinson & Houston-Price 2013;1;1;;;87;;18;;;quasi-experimental;within;;;;;2,4;1,5;18;4,3;1,4;18;;;;;;;;;;;low
;;;;1;2;;;87;;16;;;quasi-experimental;within;;;;;1,6;0,89;16;4,3;1,5;16;;;;;;;;;;;moderate
;;;;1;3;;;87;;21;;;quasi-experimental;within;;;;;2,2;1,2;21;4,9;1,7;21;;;;;;;;;;;high
;;;;1;4;;;87;;16;;;quasi-experimental;within;;;;;1,6;0,89;16;3,9;2,3;16;;;;;;;;;;;low
;;;;1;5;;;111;;15;;;quasi-experimental;within;;;;;2,2;0,78;15;3,9;1,7;15;;;;;;;;;;;moderate
;;;;1;6;;;111;;17;;;quasi-experimental;within;;;;;2,1;1,3;17;5,2;1,3;17;;;;;;;;;;;high
;;;;1;7;;;111;;18;;;quasi-experimental;within;;;;;1,8;1,2;18;5,6;1,1;18;;;;;;;;;;;low
;;;;1;8;;;111;;21;;;quasi-experimental;within;;;;;2,2;1,3;21;5,5;0,98;21;;;;;;;;;;;moderate
;;;;1;9;;;87;;18;;;quasi-experimental;within;;;;;2,4;1,5;18;4,4;1,5;18;;;;;;;;;;;high
;;;;1;10;;;87;;16;;;quasi-experimental;within;;;;;1,6;0,89;16;3,8;2;16;;;;;;;;;;;low
;;;;1;11;;;87;;21;;;quasi-experimental;within;;;;;2,2;1,2;21;5,2;1,3;21;;;;;;;;;;;low
;;;;1;12;;;87;;16;;;quasi-experimental;within;;;;;1,6;0,89;16;4,9;2;16;;;;;;;;;;;moderate
;;;;1;13;;;111;;15;;;quasi-experimental;within;;;;;2,2;0,78;15;4,5;1,6;15;;;;;;;;;;;high
;;;;1;14;;;111;;17;;;quasi-experimental;within;;;;;2,1;1,3;17;5;1,4;17;;;;;;;;;;;low
;;;;1;15;;;111;;18;;;quasi-experimental;within;;;;;1,8;1,2;18;5,9;1,1;18;;;;;;;;;;;moderate
;;;;1;16;;;111;;21;;;quasi-experimental;within;;;;;2,2;1,3;21;4,6;1,3;21;;;;;;;;;;;high
;Williams & Horst (unpub A);;Williams & Horst (unpub A);1;1;;;63;;12;;;RCT;within;;;;;0;0;12;1,34;0,5;12;;;;;;;;;;;low
;;;;2;1;;;42;;12;;;RCT;within;;;;;0;0;12;1,52;0,62;12;;;;;;;;;;;moderate
;;;;1;3;;;63;;12;;;RCT;within;;;;;0;0;12;1,52;0,36;12;;;;;;;;;;;high
;Williams & Horst (unpub B);;Williams & Horst (unpub B);1;1;;;42;;12;;;RCT;within;;;;;0;0;12;2,22;0,6;12;;;;;;;;;;;low
;;;;1;2;;;42;;12;;;RCT;within;;;;;0;0;12;2,7;0,9;12;;;;;;;;;;;moderate
;Williams & Horst 2014;;Williams & Horst 2014;1;1;;;42;;24;;;RCT;within;;;;;0;0;24;1,55;0,57;24;;;;;;;;;;;high
;;;;1;2;;;42;;24;;;RCT;within;;;;;0;0;24;1,13;0,65;24;;;;;;;;;;;low
;;;;1;1;;;42;;24;;;RCT;within;;;;;0;0;24;1,46;0,66;24;;;;;;;;;;;moderate
;;;;1;2;;;42;;24;;;RCT;within;;;;;0;0;24;0,76;0,81;24;;;;;;;;;;;high